epoch,sample_id,semantic_length,padded_length,position_shift,codec_ce,mean_accuracy,q0_accuracy,residual_accuracy,ar_mean_accuracy,ar_q0_accuracy
10,ulsan_023197,27,36,9,6.754394888877869,0.03125,0.1190476194024086,0.02539682574570179,,
10,ulsan_023197,27,48,21,6.7485969960689545,0.0282738097012043,0.1190476194024086,0.02222222276031971,,
10,ulsan_024066,39,39,0,6.354359537363052,0.03304597735404968,0.10344827175140381,0.028352491557598114,,
10,ulsan_024066,39,48,9,6.353928089141846,0.03448275849223137,0.09195402264595032,0.030651342123746872,,
10,ulsan_024866,21,21,0,5.723027050495148,0.07880435138940811,0.1304347813129425,0.07536232471466064,,
10,ulsan_024866,21,24,3,5.726383537054062,0.08423913270235062,0.1304347813129425,0.08115942031145096,,
10,ulsan_024866,21,36,15,5.726915270090103,0.08423913270235062,0.1304347813129425,0.08115942031145096,,
10,ulsan_024866,21,48,27,5.722495764493942,0.08288043737411499,0.1304347813129425,0.07971014827489853,,
10,ulsan_025752,21,21,0,5.735607206821442,0.06372549384832382,0.1568627506494522,0.05751634016633034,,
10,ulsan_025752,21,24,3,5.7335982620716095,0.06372549384832382,0.1568627506494522,0.05751634016633034,,
10,ulsan_025752,21,36,15,5.736268639564514,0.06495098024606705,0.1568627506494522,0.05882352963089943,,
10,ulsan_025752,21,48,27,5.73452952504158,0.06372549384832382,0.1568627506494522,0.05751634016633034,,
10,ulsan_026807,20,20,0,6.165937125682831,0.0791015625,0.1875,0.07187500596046448,,
10,ulsan_026807,20,24,4,6.166508764028549,0.0771484375,0.1875,0.06979166716337204,,
10,ulsan_026807,20,36,16,6.166002601385117,0.078125,0.1875,0.07083334028720856,,
10,ulsan_026807,20,48,28,6.165695488452911,0.0810546875,0.1875,0.07395833730697632,,
10,ulsan_027684,9,9,0,6.028095752000809,0.05000000074505806,0.11428571492433548,0.04571428522467613,,
10,ulsan_027684,9,24,15,6.012380093336105,0.05178571492433548,0.11428571492433548,0.0476190485060215,,
10,ulsan_027684,9,36,27,6.013272404670715,0.05535714328289032,0.1428571492433548,0.04952380806207657,,
10,ulsan_027684,9,48,39,6.0130535364151,0.05000000074505806,0.08571428805589676,0.0476190485060215,,
