epoch,left,right,overlap_frames,mean_token_agreement,q0_agreement,residual_agreement,exact_sequence_same
10,11,12,100,0.5756250023841858,0.6499999761581421,0.5706666707992554,False
10,11,13,100,0.5824999809265137,0.699999988079071,0.5746666789054871,False
10,11,14,100,0.5918750166893005,0.07000000029802322,0.6266666650772095,False
10,11,15,80,0.18359375,0.11249999701976776,0.18833333253860474,False
10,11,16,100,0.1912499964237213,0.09000000357627869,0.1979999989271164,False
10,11,17,100,0.7962499856948853,0.8199999928474426,0.7946666479110718,False
10,11,18,32,0.17578125,0.28125,0.16875000298023224,False
10,11,19,100,0.731249988079071,0.8500000238418579,0.7233333587646484,False
10,11,20,100,0.5181249976158142,0.7200000286102295,0.5046666860580444,False
10,12,13,100,0.9350000023841858,0.9300000071525574,0.9353333115577698,False
10,12,14,100,0.49937498569488525,0.07999999821186066,0.5273333191871643,False
10,12,15,80,0.21875,0.10000000149011612,0.2266666740179062,False
10,12,16,100,0.2368749976158142,0.07000000029802322,0.24799999594688416,False
10,12,17,100,0.6693750023841858,0.8299999833106995,0.6586666703224182,False
10,12,18,32,0.208984375,0.25,0.20624999701976776,False
10,12,19,100,0.6637499928474426,0.800000011920929,0.6546666622161865,False
10,12,20,100,0.46187499165534973,0.9300000071525574,0.43066665530204773,False
10,13,14,100,0.5137500166893005,0.07000000029802322,0.5433333516120911,False
10,13,15,80,0.21250000596046448,0.11249999701976776,0.21916666626930237,False
10,13,16,100,0.234375,0.09000000357627869,0.24400000274181366,False
10,13,17,100,0.675000011920929,0.8799999952316284,0.6613333225250244,False
10,13,18,32,0.193359375,0.28125,0.1875,False
10,13,19,100,0.6606249809265137,0.8500000238418579,0.6480000019073486,False
10,13,20,100,0.46875,0.9599999785423279,0.4359999895095825,False
10,14,15,80,0.19296875596046448,0.9750000238418579,0.14083333313465118,False
10,14,16,100,0.19312499463558197,0.9599999785423279,0.1420000046491623,False
10,14,17,100,0.5306249856948853,0.07000000029802322,0.5613333582878113,False
10,14,18,32,0.193359375,0.9375,0.14374999701976776,False
10,14,19,100,0.5174999833106995,0.07000000029802322,0.5473333597183228,False
10,14,20,100,0.4781250059604645,0.07000000029802322,0.5053333044052124,False
10,15,16,80,0.92578125,0.9750000238418579,0.9225000143051147,False
10,15,17,80,0.18593749403953552,0.11249999701976776,0.19083333015441895,False
10,15,18,32,0.84765625,1.0,0.8374999761581421,False
10,15,19,80,0.19843749701976776,0.11249999701976776,0.20416666567325592,False
10,15,20,80,0.15703125298023224,0.11249999701976776,0.1599999964237213,False
10,16,17,100,0.19437499344348907,0.09000000357627869,0.20133332908153534,False
10,16,18,32,0.806640625,0.9375,0.7979166507720947,False
10,16,19,100,0.20250000059604645,0.09000000357627869,0.20999999344348907,False
10,16,20,100,0.1537500023841858,0.07999999821186066,0.1586666703224182,False
10,17,18,32,0.162109375,0.28125,0.15416666865348816,False
10,17,19,100,0.9131249785423279,0.9700000286102295,0.909333348274231,False
10,17,20,100,0.543749988079071,0.8999999761581421,0.5199999809265137,False
10,18,19,32,0.166015625,0.28125,0.15833333134651184,False
10,18,20,32,0.119140625,0.28125,0.10833333432674408,False
10,19,20,100,0.5493749976158142,0.8700000047683716,0.527999997138977,False
