epoch,sample_id,switch_frame,frame,relative_to_switch,frame_token_accuracy,q0_correct,residual_accuracy,cumulative_token_accuracy,stop_probability,teacher_frame_token_accuracy,teacher_q0_correct
10,ulsan_000429,0,12,12,0.0,0.0,0.0,0.009615384973585606,0.0028839111328125,0.0625,1.0
10,ulsan_000429,0,13,13,0.0,0.0,0.0,0.008928571827709675,0.003082275390625,0.0,0.0
10,ulsan_000429,3,0,-3,0.125,1.0,0.06666667014360428,0.125,0.00186920166015625,0.1875,1.0
10,ulsan_000429,3,1,-2,0.0,0.0,0.0,0.0625,0.001983642578125,0.0625,0.0
10,ulsan_000429,3,2,-1,0.0625,1.0,0.0,0.0625,0.0013275146484375,0.125,1.0
10,ulsan_000429,3,3,0,0.0,0.0,0.0,0.046875,0.00102996826171875,0.0,0.0
10,ulsan_000429,3,4,1,0.0,0.0,0.0,0.03750000149011612,0.00093841552734375,0.0,0.0
10,ulsan_000429,3,5,2,0.0,0.0,0.0,0.03125,0.00116729736328125,0.0625,0.0
10,ulsan_000429,3,6,3,0.0,0.0,0.0,0.02678571455180645,0.00145721435546875,0.0,0.0
10,ulsan_000429,3,7,4,0.0,0.0,0.0,0.0234375,0.000911712646484375,0.0,0.0
10,ulsan_000429,3,8,5,0.0,0.0,0.0,0.02083333395421505,0.00102996826171875,0.0,0.0
10,ulsan_000429,3,9,6,0.0,0.0,0.0,0.01875000074505806,0.00170135498046875,0.0625,0.0
10,ulsan_000429,3,10,7,0.0,0.0,0.0,0.017045455053448677,0.007568359375,0.0,0.0
10,ulsan_000429,3,11,8,0.0,0.0,0.0,0.015625,0.012451171875,0.0625,0.0
10,ulsan_000429,3,12,9,0.0,0.0,0.0,0.014423076994717121,0.0179443359375,0.0625,1.0
10,ulsan_000429,3,13,10,0.0,0.0,0.0,0.013392857275903225,0.004608154296875,0.0,0.0
10,ulsan_000429,4,0,-4,0.125,1.0,0.06666667014360428,0.125,0.00186920166015625,0.1875,1.0
10,ulsan_000429,4,1,-3,0.0,0.0,0.0,0.0625,0.001983642578125,0.0625,0.0
10,ulsan_000429,4,2,-2,0.0625,1.0,0.0,0.0625,0.0013275146484375,0.125,1.0
10,ulsan_000429,4,3,-1,0.0,0.0,0.0,0.046875,0.00102996826171875,0.0,0.0
10,ulsan_000429,4,4,0,0.0,0.0,0.0,0.03750000149011612,0.00070953369140625,0.0,0.0
10,ulsan_000429,4,5,1,0.0,0.0,0.0,0.03125,0.0008544921875,0.0625,0.0
10,ulsan_000429,4,6,2,0.0,0.0,0.0,0.02678571455180645,0.00124359130859375,0.0,0.0
10,ulsan_000429,4,7,3,0.0,0.0,0.0,0.0234375,0.00225830078125,0.0,0.0
10,ulsan_000429,4,8,4,0.0,0.0,0.0,0.02083333395421505,0.00164794921875,0.0,0.0
10,ulsan_000429,4,9,5,0.0,0.0,0.0,0.01875000074505806,0.00170135498046875,0.0625,0.0
10,ulsan_000429,4,10,6,0.0,0.0,0.0,0.017045455053448677,0.0010986328125,0.0,0.0
10,ulsan_000429,4,11,7,0.0,0.0,0.0,0.015625,0.00102996826171875,0.0625,0.0
10,ulsan_000429,4,12,8,0.0,0.0,0.0,0.014423076994717121,0.002044677734375,0.0625,1.0
10,ulsan_000429,4,13,9,0.0,0.0,0.0,0.013392857275903225,0.00150299072265625,0.0,0.0
10,ulsan_000429,7,0,-7,0.125,1.0,0.06666667014360428,0.125,0.00186920166015625,0.1875,1.0
10,ulsan_000429,7,1,-6,0.0,0.0,0.0,0.0625,0.001983642578125,0.0625,0.0
10,ulsan_000429,7,2,-5,0.0625,1.0,0.0,0.0625,0.0013275146484375,0.125,1.0
10,ulsan_000429,7,3,-4,0.0,0.0,0.0,0.046875,0.00102996826171875,0.0,0.0
10,ulsan_000429,7,4,-3,0.0,0.0,0.0,0.03750000149011612,0.00070953369140625,0.0,0.0
10,ulsan_000429,7,5,-2,0.0,0.0,0.0,0.03125,0.00128173828125,0.0625,0.0
10,ulsan_000429,7,6,-1,0.0,0.0,0.0,0.02678571455180645,0.00102996826171875,0.0,0.0
10,ulsan_000429,7,7,0,0.0,0.0,0.0,0.0234375,0.00170135498046875,0.0,0.0
10,ulsan_000429,7,8,1,0.0,0.0,0.0,0.02083333395421505,0.0012054443359375,0.0,0.0
10,ulsan_000429,7,9,2,0.0,0.0,0.0,0.01875000074505806,0.00141143798828125,0.0625,0.0
10,ulsan_000429,7,10,3,0.0,0.0,0.0,0.017045455053448677,0.00186920166015625,0.0,0.0
10,ulsan_000429,7,11,4,0.0,0.0,0.0,0.015625,0.00262451171875,0.0625,0.0
10,ulsan_000429,7,12,5,0.0,0.0,0.0,0.014423076994717121,0.0029754638671875,0.0625,1.0
10,ulsan_000429,7,13,6,0.0,0.0,0.0,0.013392857275903225,0.00136566162109375,0.0,0.0
10,ulsan_000819,0,0,0,0.125,1.0,0.06666667014360428,0.125,0.00102996826171875,0.125,1.0
10,ulsan_000819,0,1,1,0.0,0.0,0.0,0.0625,0.0013275146484375,0.0,0.0
10,ulsan_000819,0,2,2,0.0,0.0,0.0,0.0416666679084301,0.00141143798828125,0.0,0.0
10,ulsan_000819,0,3,3,0.0,0.0,0.0,0.03125,0.00154876708984375,0.0625,0.0
